A0A014PQC0,568076,E,Metarhizium robertsii,Glyceraldehyde 3-phosphate dehydrogenase catalytic domain,PF02800,157,314,338
A0A016S8J7,53326,E,Ancylostoma ceylanicum,Peptidase C13 legumain,PF01650,40,94,101
A0A016S8J7,53326,E,Ancylostoma ceylanicum,Neurotransmitter-gated ion-channel ligand-binding domain,PF02931,23,39,101
A0A016SK08,53326,E,Ancylostoma ceylanicum,Reverse transcriptase domain,PF00078,10,99,194
A0A016SLU4,53326,E,Ancylostoma ceylanicum,disorder_prediction,mobidb-lite,1,33,733
A0A016SS41,53326,E,Ancylostoma ceylanicum,disorder_prediction,mobidb-lite,516,551,865
A0A016T911,53326,E,Ancylostoma ceylanicum,disorder_prediction,mobidb-lite,903,938,1786
A0A016TEY5,53326,E,Ancylostoma ceylanicum,disorder_prediction,mobidb-lite,106,159,656
A0A016TQ94,53326,E,Ancylostoma ceylanicum,disorder_prediction,mobidb-lite,102,121,2006
A0A016TTS1,53326,E,Ancylostoma ceylanicum,RNA polymerase II heptapeptide repeat eukaryotic,PF05001,1634,1642,1900
A0A016U0V3,53326,E,Ancylostoma ceylanicum,SANT associated,PF09133,374,466,1167
A0A016U557,53326,E,Ancylostoma ceylanicum,Spectrin repeat,PF00435,710,811,2385
A0A016U701,53326,E,Ancylostoma ceylanicum,Peptidase M12A,PF01400,1,83,281
A0A016UJ17,53326,E,Ancylostoma ceylanicum,Zinc finger RING-type,PF13639,308,350,464
A0A016USI4,53326,E,Ancylostoma ceylanicum,WD40 repeat,PF00400,310,347,597
A0A016V1B2,53326,E,Ancylostoma ceylanicum,disorder_prediction,mobidb-lite,1,46,1123
A0A016V7D3,53326,E,Ancylostoma ceylanicum,Ets domain,PF00178,442,525,530
A0A016VK28,53326,E,Ancylostoma ceylanicum,VPS9 domain,PF02204,278,378,514
A0A016W2S6,53326,E,Ancylostoma ceylanicum,disorder_prediction,mobidb-lite,124,145,419
A0A016W9A4,53326,E,Ancylostoma ceylanicum,Endoplasmic reticulum oxidoreductin 1,PF04137,49,341,362
A0A016WC87,53326,E,Ancylostoma ceylanicum,Phosphopantetheine binding ACP domain,PF00550,2071,2121,7074
A0A016WF52,53326,E,Ancylostoma ceylanicum,disorder_prediction,mobidb-lite,21,66,699
A0A016WMQ5,53326,E,Ancylostoma ceylanicum,Ankyrin repeat domain-containing protein 13,PF11904,156,458,624
A0A016WYY3,53326,E,Ancylostoma ceylanicum,disorder_prediction,mobidb-lite,144,181,243
A0A016WZR8,53326,E,Ancylostoma ceylanicum,disorder_prediction,mobidb-lite,490,514,970
